year,source,target,value
2020,PL,solid_fossil_fuelsl_exports,11291.569
total,PL,solid_fossil_fuelsl_exports,143862.073
2011,PT,solid_fossil_fuelsl_exports,0.0
2012,PT,solid_fossil_fuelsl_exports,0.0
2013,PT,solid_fossil_fuelsl_exports,0.0
2014,PT,solid_fossil_fuelsl_exports,0.0
2015,PT,solid_fossil_fuelsl_exports,0.0
2016,PT,solid_fossil_fuelsl_exports,0.0
2017,PT,solid_fossil_fuelsl_exports,0.0
2018,PT,solid_fossil_fuelsl_exports,0.0
2019,PT,solid_fossil_fuelsl_exports,0.0
2020,PT,solid_fossil_fuelsl_exports,81.735
total,PT,solid_fossil_fuelsl_exports,81.735
2011,RO,solid_fossil_fuelsl_exports,37.0
2012,RO,solid_fossil_fuelsl_exports,25.0
2013,RO,solid_fossil_fuelsl_exports,7.0
2014,RO,solid_fossil_fuelsl_exports,42.0
2015,RO,solid_fossil_fuelsl_exports,378.0
2016,RO,solid_fossil_fuelsl_exports,3.0
2017,RO,solid_fossil_fuelsl_exports,2.284
2018,RO,solid_fossil_fuelsl_exports,5.824
2019,RO,solid_fossil_fuelsl_exports,0.459
2020,RO,solid_fossil_fuelsl_exports,2.511
total,RO,solid_fossil_fuelsl_exports,503.078
2011,SI,solid_fossil_fuelsl_exports,2.0
2012,SI,solid_fossil_fuelsl_exports,1.0
2013,SI,solid_fossil_fuelsl_exports,7.0
2014,SI,solid_fossil_fuelsl_exports,1.0
2015,SI,solid_fossil_fuelsl_exports,0.0
2016,SI,solid_fossil_fuelsl_exports,0.0
2017,SI,solid_fossil_fuelsl_exports,0.0
2018,SI,solid_fossil_fuelsl_exports,0.0
2019,SI,solid_fossil_fuelsl_exports,0.0
2020,SI,solid_fossil_fuelsl_exports,0.0
total,SI,solid_fossil_fuelsl_exports,11.0
2011,SK,solid_fossil_fuelsl_exports,236.0
2012,SK,solid_fossil_fuelsl_exports,106.0
2013,SK,solid_fossil_fuelsl_exports,115.0
2014,SK,solid_fossil_fuelsl_exports,91.0
2015,SK,solid_fossil_fuelsl_exports,63.0
2016,SK,solid_fossil_fuelsl_exports,72.0
2017,SK,solid_fossil_fuelsl_exports,70.0
2018,SK,solid_fossil_fuelsl_exports,59.0
2019,SK,solid_fossil_fuelsl_exports,124.0
2020,SK,solid_fossil_fuelsl_exports,40.0
total,SK,solid_fossil_fuelsl_exports,976.0
2011,FI,solid_fossil_fuelsl_exports,44.0
2012,FI,solid_fossil_fuelsl_exports,67.0
2013,FI,solid_fossil_fuelsl_exports,76.0
2014,FI,solid_fossil_fuelsl_exports,76.0
2015,FI,solid_fossil_fuelsl_exports,121.0
2016,FI,solid_fossil_fuelsl_exports,91.0
2017,FI,solid_fossil_fuelsl_exports,137.0
2018,FI,solid_fossil_fuelsl_exports,107.0
2019,FI,solid_fossil_fuelsl_exports,202.0
2020,FI,solid_fossil_fuelsl_exports,134.0
total,FI,solid_fossil_fuelsl_exports,1055.0
2011,SE,solid_fossil_fuelsl_exports,26.0
2012,SE,solid_fossil_fuelsl_exports,23.0
2013,SE,solid_fossil_fuelsl_exports,27.0
2014,SE,solid_fossil_fuelsl_exports,31.0
2015,SE,solid_fossil_fuelsl_exports,81.0
2016,SE,solid_fossil_fuelsl_exports,28.0
2017,SE,solid_fossil_fuelsl_exports,30.0
2018,SE,solid_fossil_fuelsl_exports,9.0
2019,SE,solid_fossil_fuelsl_exports,49.0
2020,SE,solid_fossil_fuelsl_exports,23.0
total,SE,solid_fossil_fuelsl_exports,327.0
2011,IS,solid_fossil_fuelsl_exports,0.0
2012,IS,solid_fossil_fuelsl_exports,0.0
2013,IS,solid_fossil_fuelsl_exports,0.0
2014,IS,solid_fossil_fuelsl_exports,0.0
2015,IS,solid_fossil_fuelsl_exports,0.0
2016,IS,solid_fossil_fuelsl_exports,0.0
2017,IS,solid_fossil_fuelsl_exports,0.0
2018,IS,solid_fossil_fuelsl_exports,0.0
2019,IS,solid_fossil_fuelsl_exports,0.0
2020,IS,solid_fossil_fuelsl_exports,0.0
total,IS,solid_fossil_fuelsl_exports,0.0
2014,LI000,solid_fossil_fuelsl_exports,0.0
2015,LI000,solid_fossil_fuelsl_exports,0.0
2016,LI000,solid_fossil_fuelsl_exports,0.0
2017,LI000,solid_fossil_fuelsl_exports,0.0
2018,LI000,solid_fossil_fuelsl_exports,0.0
2019,LI000,solid_fossil_fuelsl_exports,0.0
2020,LI000,solid_fossil_fuelsl_exports,0.0
total,LI000,solid_fossil_fuelsl_exports,0.0
2011,NO,solid_fossil_fuelsl_exports,1504.0
2012,NO,solid_fossil_fuelsl_exports,1275.0
2013,NO,solid_fossil_fuelsl_exports,2069.0
2014,NO,solid_fossil_fuelsl_exports,1608.0
2015,NO,solid_fossil_fuelsl_exports,1124.0
2016,NO,solid_fossil_fuelsl_exports,912.0
2017,NO,solid_fossil_fuelsl_exports,75.0
2018,NO,solid_fossil_fuelsl_exports,112.836
2019,NO,solid_fossil_fuelsl_exports,78.97
2020,NO,solid_fossil_fuelsl_exports,46.018
total,NO,solid_fossil_fuelsl_exports,8804.824
2011,UK,solid_fossil_fuelsl_exports,990.0
2012,UK,solid_fossil_fuelsl_exports,1041.0
2013,UK,solid_fossil_fuelsl_exports,712.0
2014,UK,solid_fossil_fuelsl_exports,537.0
2015,UK,solid_fossil_fuelsl_exports,498.0
2016,UK,solid_fossil_fuelsl_exports,467.0
2017,UK,solid_fossil_fuelsl_exports,515.0
2018,UK,solid_fossil_fuelsl_exports,646.0
2019,UK,solid_fossil_fuelsl_exports,751.0
total,UK,solid_fossil_fuelsl_exports,6157.0
2011,ME,solid_fossil_fuelsl_exports,53.0
2012,ME,solid_fossil_fuelsl_exports,55.0
2013,ME,solid_fossil_fuelsl_exports,23.0
2014,ME,solid_fossil_fuelsl_exports,28.0
2015,ME,solid_fossil_fuelsl_exports,58.0
2016,ME,solid_fossil_fuelsl_exports,42.0
2017,ME,solid_fossil_fuelsl_exports,97.0
2018,ME,solid_fossil_fuelsl_exports,93.5
2019,ME,solid_fossil_fuelsl_exports,110.7
2020,ME,solid_fossil_fuelsl_exports,80.5
total,ME,solid_fossil_fuelsl_exports,640.7
2011,MK,solid_fossil_fuelsl_exports,32.0
2012,MK,solid_fossil_fuelsl_exports,33.0
2013,MK,solid_fossil_fuelsl_exports,2.0
2014,MK,solid_fossil_fuelsl_exports,0.0
2015,MK,solid_fossil_fuelsl_exports,3.0
2016,MK,solid_fossil_fuelsl_exports,1.855
2017,MK,solid_fossil_fuelsl_exports,1.73
2018,MK,solid_fossil_fuelsl_exports,0.893
2019,MK,solid_fossil_fuelsl_exports,0.896
2020,MK,solid_fossil_fuelsl_exports,0.587
total,MK,solid_fossil_fuelsl_exports,75.961
2011,AL,solid_fossil_fuelsl_exports,0.0
2012,AL,solid_fossil_fuelsl_exports,0.0
2013,AL,solid_fossil_fuelsl_exports,0.0
2014,AL,solid_fossil_fuelsl_exports,0.0
2015,AL,solid_fossil_fuelsl_exports,0.0
2016,AL,solid_fossil_fuelsl_exports,0.0
2017,AL,solid_fossil_fuelsl_exports,0.0
2018,AL,solid_fossil_fuelsl_exports,0.0
2019,AL,solid_fossil_fuelsl_exports,0.0
2020,AL,solid_fossil_fuelsl_exports,0.0
total,AL,solid_fossil_fuelsl_exports,0.0
2011,RS,solid_fossil_fuelsl_exports,36.0
2012,RS,solid_fossil_fuelsl_exports,27.0
2013,RS,solid_fossil_fuelsl_exports,118.0
2014,RS,solid_fossil_fuelsl_exports,53.0
2015,RS,solid_fossil_fuelsl_exports,34.0
2016,RS,solid_fossil_fuelsl_exports,71.0
2017,RS,solid_fossil_fuelsl_exports,77.874
2018,RS,solid_fossil_fuelsl_exports,82.212
2019,RS,solid_fossil_fuelsl_exports,93.66
2020,RS,solid_fossil_fuelsl_exports,72.837
total,RS,solid_fossil_fuelsl_exports,665.583
2011,TR,solid_fossil_fuelsl_exports,53.0
2012,TR,solid_fossil_fuelsl_exports,94.0
2013,TR,solid_fossil_fuelsl_exports,108.0
2014,TR,solid_fossil_fuelsl_exports,169.0
2015,TR,solid_fossil_fuelsl_exports,238.0
2016,TR,solid_fossil_fuelsl_exports,196.0
2017,TR,solid_fossil_fuelsl_exports,226.715
2018,TR,solid_fossil_fuelsl_exports,204.09
2019,TR,solid_fossil_fuelsl_exports,198.847
2020,TR,solid_fossil_fuelsl_exports,300.076
total,TR,solid_fossil_fuelsl_exports,1787.728
2014,BA,solid_fossil_fuelsl_exports,785.0
2015,BA,solid_fossil_fuelsl_exports,680.0
2016,BA,solid_fossil_fuelsl_exports,635.0
2017,BA,solid_fossil_fuelsl_exports,545.0
2018,BA,solid_fossil_fuelsl_exports,761.093
2019,BA,solid_fossil_fuelsl_exports,617.845
2020,BA,solid_fossil_fuelsl_exports,525.383
total,BA,solid_fossil_fuelsl_exports,4549.321
2011,XK,solid_fossil_fuelsl_exports,20.0
2012,XK,solid_fossil_fuelsl_exports,0.0
2013,XK,solid_fossil_fuelsl_exports,14.0
2014,XK,solid_fossil_fuelsl_exports,25.0
2015,XK,solid_fossil_fuelsl_exports,45.0
2016,XK,solid_fossil_fuelsl_exports,18.0
2017,XK,solid_fossil_fuelsl_exports,14.26
2018,XK,solid_fossil_fuelsl_exports,9.198
2019,XK,solid_fossil_fuelsl_exports,27.23
2020,XK,solid_fossil_fuelsl_exports,8.733
total,XK,solid_fossil_fuelsl_exports,181.421
2011,MD,solid_fossil_fuelsl_exports,0.0
2012,MD,solid_fossil_fuelsl_exports,0.0
2013,MD,solid_fossil_fuelsl_exports,0.0
2014,MD,solid_fossil_fuelsl_exports,0.0
2015,MD,solid_fossil_fuelsl_exports,0.0
2016,MD,solid_fossil_fuelsl_exports,0.0
2017,MD,solid_fossil_fuelsl_exports,0.0
2018,MD,solid_fossil_fuelsl_exports,0.0
2019,MD,solid_fossil_fuelsl_exports,0.0
2020,MD,solid_fossil_fuelsl_exports,0.0
total,MD,solid_fossil_fuelsl_exports,0.0
2011,UA,solid_fossil_fuelsl_exports,9342.0
2012,UA,solid_fossil_fuelsl_exports,8691.0
2013,UA,solid_fossil_fuelsl_exports,10519.0
2014,UA,solid_fossil_fuelsl_exports,8312.0
2015,UA,solid_fossil_fuelsl_exports,804.0
2016,UA,solid_fossil_fuelsl_exports,777.0
2017,UA,solid_fossil_fuelsl_exports,861.0
2018,UA,solid_fossil_fuelsl_exports,89.0
2019,UA,solid_fossil_fuelsl_exports,75.1
2020,UA,solid_fossil_fuelsl_exports,60.7
total,UA,solid_fossil_fuelsl_exports,39530.8
2013,GE,solid_fossil_fuelsl_exports,4.0
2014,GE,solid_fossil_fuelsl_exports,3.0
2015,GE,solid_fossil_fuelsl_exports,2.0
2016,GE,solid_fossil_fuelsl_exports,2.0
2017,GE,solid_fossil_fuelsl_exports,15.0
2018,GE,solid_fossil_fuelsl_exports,1.913
2019,GE,solid_fossil_fuelsl_exports,0.675
2020,GE,solid_fossil_fuelsl_exports,0.55
total,GE,solid_fossil_fuelsl_exports,29.138
2011,oil_petroleum_imports,BE,53863.8
2012,oil_petroleum_imports,BE,54155.0
2013,oil_petroleum_imports,BE,56422.9
2014,oil_petroleum_imports,BE,58143.8
2015,oil_petroleum_imports,BE,59216.7
2016,oil_petroleum_imports,BE,58180.8
2017,oil_petroleum_imports,BE,62879.2
2018,oil_petroleum_imports,BE,64716.2
2019,oil_petroleum_imports,BE,62916.7
2020,oil_petroleum_imports,BE,52845.9
total,oil_petroleum_imports,BE,583341.0
2011,oil_petroleum_imports,BG,7336.0
2012,oil_petroleum_imports,BG,8116.0
2013,oil_petroleum_imports,BG,8353.0
2014,oil_petroleum_imports,BG,8110.0
2015,oil_petroleum_imports,BG,8972.0
2016,oil_petroleum_imports,BG,9053.0
2017,oil_petroleum_imports,BG,9551.151
2018,oil_petroleum_imports,BG,8048.519
2019,oil_petroleum_imports,BG,9257.522
2020,oil_petroleum_imports,BG,7144.502
total,oil_petroleum_imports,BG,83941.694
2011,oil_petroleum_imports,CZ,10132.0
2012,oil_petroleum_imports,CZ,10099.0
2013,oil_petroleum_imports,CZ,9923.0
2014,oil_petroleum_imports,CZ,10764.0
2015,oil_petroleum_imports,CZ,11057.0
2016,oil_petroleum_imports,CZ,10210.0
2017,oil_petroleum_imports,CZ,11682.0
2018,oil_petroleum_imports,CZ,11853.0
2019,oil_petroleum_imports,CZ,11785.0
2020,oil_petroleum_imports,CZ,10391.0
total,oil_petroleum_imports,CZ,107896.0
2011,oil_petroleum_imports,DK,9464.0
2012,oil_petroleum_imports,DK,9979.0
2013,oil_petroleum_imports,DK,12286.0
2014,oil_petroleum_imports,DK,11892.0
2015,oil_petroleum_imports,DK,13901.916
2016,oil_petroleum_imports,DK,13094.185
2017,oil_petroleum_imports,DK,10461.818
2018,oil_petroleum_imports,DK,10803.438
2019,oil_petroleum_imports,DK,12247.791
2020,oil_petroleum_imports,DK,11653.343
total,oil_petroleum_imports,DK,115783.491
2011,oil_petroleum_imports,DE,123500.0
2012,oil_petroleum_imports,DE,125662.0
2013,oil_petroleum_imports,DE,128216.0
2014,oil_petroleum_imports,DE,126436.0
2015,oil_petroleum_imports,DE,128711.0
2016,oil_petroleum_imports,DE,130004.0
2017,oil_petroleum_imports,DE,131803.0
2018,oil_petroleum_imports,DE,125546.0
2019,oil_petroleum_imports,DE,128127.0
2020,oil_petroleum_imports,DE,117558.0
total,oil_petroleum_imports,DE,1265563.0
2011,oil_petroleum_imports,EE,1164.29
2012,oil_petroleum_imports,EE,2276.99
2013,oil_petroleum_imports,EE,1679.51
2014,oil_petroleum_imports,EE,1903.8
2015,oil_petroleum_imports,EE,1682.0
2016,oil_petroleum_imports,EE,1812.0
2017,oil_petroleum_imports,EE,1889.21
2018,oil_petroleum_imports,EE,2058.6
2019,oil_petroleum_imports,EE,1862.037
2020,oil_petroleum_imports,EE,2232.078
total,oil_petroleum_imports,EE,18560.515
2011,oil_petroleum_imports,IE,8597.144
2012,oil_petroleum_imports,IE,8178.069
2013,oil_petroleum_imports,IE,8018.596
2014,oil_petroleum_imports,IE,7746.665
2015,oil_petroleum_imports,IE,9064.272
2016,oil_petroleum_imports,IE,8919.734
2017,oil_petroleum_imports,IE,8845.21
2018,oil_petroleum_imports,IE,8958.503
2019,oil_petroleum_imports,IE,8860.017
2020,oil_petroleum_imports,IE,7965.548
total,oil_petroleum_imports,IE,85153.758
2011,oil_petroleum_imports,EL,24882.0
2012,oil_petroleum_imports,EL,28205.0
2013,oil_petroleum_imports,EL,27074.0
2014,oil_petroleum_imports,EL,29491.0
2015,oil_petroleum_imports,EL,31420.0
2016,oil_petroleum_imports,EL,32779.0
2017,oil_petroleum_imports,EL,33511.532
2018,oil_petroleum_imports,EL,34159.938
2019,oil_petroleum_imports,EL,32620.164
2020,oil_petroleum_imports,EL,31297.996
total,oil_petroleum_imports,EL,305440.63
2011,oil_petroleum_imports,ES,79352.0
2012,oil_petroleum_imports,ES,78853.0
2013,oil_petroleum_imports,ES,77896.0
2014,oil_petroleum_imports,ES,79493.0
2015,oil_petroleum_imports,ES,83682.0
2016,oil_petroleum_imports,ES,85471.0
2017,oil_petroleum_imports,ES,89162.0
2018,oil_petroleum_imports,ES,88457.0
2019,oil_petroleum_imports,ES,87509.0
2020,oil_petroleum_imports,ES,73748.0
total,oil_petroleum_imports,ES,823623.0
2011,oil_petroleum_imports,FR,106437.0
2012,oil_petroleum_imports,FR,102008.0
2013,oil_petroleum_imports,FR,99990.0
2014,oil_petroleum_imports,FR,98617.0
2015,oil_petroleum_imports,FR,101342.0
2016,oil_petroleum_imports,FR,97495.0
2017,oil_petroleum_imports,FR,99037.0
2018,oil_petroleum_imports,FR,95544.795
2019,oil_petroleum_imports,FR,93585.013
2020,oil_petroleum_imports,FR,76639.108
total,oil_petroleum_imports,FR,970694.916
2011,oil_petroleum_imports,HR,4550.0
2012,oil_petroleum_imports,HR,4033.0
2013,oil_petroleum_imports,HR,4051.0
2014,oil_petroleum_imports,HR,3932.0
2015,oil_petroleum_imports,HR,4521.0
2016,oil_petroleum_imports,HR,4674.0
2017,oil_petroleum_imports,HR,5195.566
2018,oil_petroleum_imports,HR,5208.761
2019,oil_petroleum_imports,HR,4854.62
2020,oil_petroleum_imports,HR,4441.46
total,oil_petroleum_imports,HR,45461.407
2011,oil_petroleum_imports,IT,90225.0
2012,oil_petroleum_imports,IT,85711.0
2013,oil_petroleum_imports,IT,77952.0
2014,oil_petroleum_imports,IT,71291.0
2015,oil_petroleum_imports,IT,80536.0
2016,oil_petroleum_imports,IT,81483.0
2017,oil_petroleum_imports,IT,84683.976
2018,oil_petroleum_imports,IT,81297.22
2019,oil_petroleum_imports,IT,80405.272
2020,oil_petroleum_imports,IT,65419.015
total,oil_petroleum_imports,IT,799003.483
2011,oil_petroleum_imports,CY,2663.0
2012,oil_petroleum_imports,CY,2630.0
2013,oil_petroleum_imports,CY,2335.0
2014,oil_petroleum_imports,CY,2299.0
2015,oil_petroleum_imports,CY,2468.0
2016,oil_petroleum_imports,CY,2625.0
2017,oil_petroleum_imports,CY,2650.977
2018,oil_petroleum_imports,CY,2600.472
2019,oil_petroleum_imports,CY,2600.191
2020,oil_petroleum_imports,CY,2264.783
total,oil_petroleum_imports,CY,25136.423
2011,oil_petroleum_imports,LV,2071.0
2012,oil_petroleum_imports,LV,2138.0
2013,oil_petroleum_imports,LV,2300.0
2014,oil_petroleum_imports,LV,2328.0
2015,oil_petroleum_imports,LV,2706.0
2016,oil_petroleum_imports,LV,2740.0
2017,oil_petroleum_imports,LV,2541.332
2018,oil_petroleum_imports,LV,2433.091
2019,oil_petroleum_imports,LV,2285.69
2020,oil_petroleum_imports,LV,1978.415
total,oil_petroleum_imports,LV,23521.528
2011,oil_petroleum_imports,LT,10188.0
2012,oil_petroleum_imports,LT,10105.0
2013,oil_petroleum_imports,LT,10674.0
2014,oil_petroleum_imports,LT,9277.0
2015,oil_petroleum_imports,LT,11080.0
2016,oil_petroleum_imports,LT,11484.0
2017,oil_petroleum_imports,LT,11210.0
2018,oil_petroleum_imports,LT,10800.1
2019,oil_petroleum_imports,LT,10777.3
2020,oil_petroleum_imports,LT,8945.1
total,oil_petroleum_imports,LT,104540.5
2011,oil_petroleum_imports,LU_CAP,2934.841
2012,oil_petroleum_imports,LU_CAP,2858.574
2013,oil_petroleum_imports,LU_CAP,2815.099
2014,oil_petroleum_imports,LU_CAP,2729.698
2015,oil_petroleum_imports,LU_CAP,2673.136
2016,oil_petroleum_imports,LU_CAP,2701.236
2017,oil_petroleum_imports,LU_CAP,2852.33
2018,oil_petroleum_imports,LU_CAP,3000.591
2019,oil_petroleum_imports,LU_CAP,3066.624
2020,oil_petroleum_imports,LU_CAP,2518.374
total,oil_petroleum_imports,LU_CAP,28150.503
2011,oil_petroleum_imports,HU,8220.0
2012,oil_petroleum_imports,HU,7742.0
2013,oil_petroleum_imports,HU,7852.0
2014,oil_petroleum_imports,HU,8938.0
2015,oil_petroleum_imports,HU,9369.0
2016,oil_petroleum_imports,HU,9208.0
2017,oil_petroleum_imports,HU,9777.0
2018,oil_petroleum_imports,HU,10810.0
2019,oil_petroleum_imports,HU,10464.0
2020,oil_petroleum_imports,HU,9615.0
total,oil_petroleum_imports,HU,91995.0
2011,oil_petroleum_imports,MT001,2360.0
2012,oil_petroleum_imports,MT001,2248.0
2013,oil_petroleum_imports,MT001,2341.0
2014,oil_petroleum_imports,MT001,2302.0
2015,oil_petroleum_imports,MT001,2719.0
2016,oil_petroleum_imports,MT001,2690.0
2017,oil_petroleum_imports,MT001,2928.125
2018,oil_petroleum_imports,MT001,3013.974
2019,oil_petroleum_imports,MT001,3134.905
2020,oil_petroleum_imports,MT001,2775.947
total,oil_petroleum_imports,MT001,26512.951
2011,oil_petroleum_imports,NL,141989.394
2012,oil_petroleum_imports,NL,146559.969
2013,oil_petroleum_imports,NL,143039.909
2014,oil_petroleum_imports,NL,140001.191
2015,oil_petroleum_imports,NL,154194.595
2016,oil_petroleum_imports,NL,154244.938
2017,oil_petroleum_imports,NL,150901.702
2018,oil_petroleum_imports,NL,149220.962
2019,oil_petroleum_imports,NL,147072.798
2020,oil_petroleum_imports,NL,130025.552
total,oil_petroleum_imports,NL,1457251.01
2011,oil_petroleum_imports,AT,13700.758
2012,oil_petroleum_imports,AT,13659.872
2013,oil_petroleum_imports,AT,13981.485
2014,oil_petroleum_imports,AT,13672.744
2015,oil_petroleum_imports,AT,14185.074
2016,oil_petroleum_imports,AT,14130.469
2017,oil_petroleum_imports,AT,14205.57
2018,oil_petroleum_imports,AT,15006.069
2019,oil_petroleum_imports,AT,15326.213
2020,oil_petroleum_imports,AT,13759.079
total,oil_petroleum_imports,AT,141627.333
2011,oil_petroleum_imports,PL,29668.0
2012,oil_petroleum_imports,PL,29602.0
2013,oil_petroleum_imports,PL,27850.0
2014,oil_petroleum_imports,PL,28698.0
2015,oil_petroleum_imports,PL,31953.0
2016,oil_petroleum_imports,PL,32039.0
2017,oil_petroleum_imports,PL,34469.138
2018,oil_petroleum_imports,PL,36185.728
2019,oil_petroleum_imports,PL,35500.528
2020,oil_petroleum_imports,PL,32905.738
total,oil_petroleum_imports,PL,318871.132
2011,oil_petroleum_imports,PT,14762.0
2012,oil_petroleum_imports,PT,14298.0
2013,oil_petroleum_imports,PT,15851.0
2014,oil_petroleum_imports,PT,14966.0
2015,oil_petroleum_imports,PT,17730.0
2016,oil_petroleum_imports,PT,17390.0
2017,oil_petroleum_imports,PT,18030.225
2018,oil_petroleum_imports,PT,16522.59
2019,oil_petroleum_imports,PT,16110.788
2020,oil_petroleum_imports,PT,14395.298
total,oil_petroleum_imports,PT,160055.901
2011,oil_petroleum_imports,RO,8005.0
2012,oil_petroleum_imports,RO,7971.0
2013,oil_petroleum_imports,RO,7808.0
2014,oil_petroleum_imports,RO,9289.0
2015,oil_petroleum_imports,RO,9718.0
2016,oil_petroleum_imports,RO,10510.0
2017,oil_petroleum_imports,RO,11176.063
2018,oil_petroleum_imports,RO,11715.066
2019,oil_petroleum_imports,RO,12205.905
2020,oil_petroleum_imports,RO,10859.059
total,oil_petroleum_imports,RO,99257.093
2011,oil_petroleum_imports,SI,3270.0
2012,oil_petroleum_imports,SI,3438.0
2013,oil_petroleum_imports,SI,3260.0
2014,oil_petroleum_imports,SI,3707.0
2015,oil_petroleum_imports,SI,4035.0
2016,oil_petroleum_imports,SI,4548.0
2017,oil_petroleum_imports,SI,4719.512
2018,oil_petroleum_imports,SI,4751.938
2019,oil_petroleum_imports,SI,4881.791
2020,oil_petroleum_imports,SI,4028.87
total,oil_petroleum_imports,SI,40640.111
2011,oil_petroleum_imports,SK,7320.0
2012,oil_petroleum_imports,SK,6640.0
2013,oil_petroleum_imports,SK,7243.0
2014,oil_petroleum_imports,SK,6593.0
2015,oil_petroleum_imports,SK,7562.0
2016,oil_petroleum_imports,SK,7551.0
2017,oil_petroleum_imports,SK,7563.0
2018,oil_petroleum_imports,SK,7384.0
2019,oil_petroleum_imports,SK,7004.0
2020,oil_petroleum_imports,SK,7287.0
total,oil_petroleum_imports,SK,72147.0
2011,oil_petroleum_imports,FI,17122.0
2012,oil_petroleum_imports,FI,16445.0
2013,oil_petroleum_imports,FI,18094.0
2014,oil_petroleum_imports,FI,17681.0
2015,oil_petroleum_imports,FI,16179.0
2016,oil_petroleum_imports,FI,18083.0
2017,oil_petroleum_imports,FI,17576.0
2018,oil_petroleum_imports,FI,17547.0
2019,oil_petroleum_imports,FI,17695.0
2020,oil_petroleum_imports,FI,16819.0
total,oil_petroleum_imports,FI,173241.0
2011,oil_petroleum_imports,SE,27114.0
2012,oil_petroleum_imports,SE,27494.0
2013,oil_petroleum_imports,SE,23945.0
2014,oil_petroleum_imports,SE,26583.0
2015,oil_petroleum_imports,SE,27920.0
2016,oil_petroleum_imports,SE,30452.0
2017,oil_petroleum_imports,SE,29089.0
2018,oil_petroleum_imports,SE,29092.0
2019,oil_petroleum_imports,SE,24815.624
2020,oil_petroleum_imports,SE,27010.199
total,oil_petroleum_imports,SE,273514.823
2011,oil_petroleum_imports,IS,695.0
2012,oil_petroleum_imports,IS,688.0
2013,oil_petroleum_imports,IS,705.0
2014,oil_petroleum_imports,IS,746.0
2015,oil_petroleum_imports,IS,836.0
2016,oil_petroleum_imports,IS,928.515
2017,oil_petroleum_imports,IS,963.198
2018,oil_petroleum_imports,IS,1110.614
2019,oil_petroleum_imports,IS,880.878
2020,oil_petroleum_imports,IS,624.505
total,oil_petroleum_imports,IS,8177.71
2014,oil_petroleum_imports,LI000,0.0
2015,oil_petroleum_imports,LI000,0.0
2016,oil_petroleum_imports,LI000,0.0
2017,oil_petroleum_imports,LI000,32.0
2018,oil_petroleum_imports,LI000,0.0
2019,oil_petroleum_imports,LI000,32.0
2020,oil_petroleum_imports,LI000,30.0
total,oil_petroleum_imports,LI000,94.0
2011,oil_petroleum_imports,NO,5588.0
2012,oil_petroleum_imports,NO,5824.0
2013,oil_petroleum_imports,NO,6778.0
2014,oil_petroleum_imports,NO,5515.0
2015,oil_petroleum_imports,NO,6497.0
2016,oil_petroleum_imports,NO,6250.0
2017,oil_petroleum_imports,NO,7835.0
2018,oil_petroleum_imports,NO,9032.171
2019,oil_petroleum_imports,NO,9107.795
2020,oil_petroleum_imports,NO,9054.238
total,oil_petroleum_imports,NO,71481.204
2011,oil_petroleum_imports,UK,80624.0
2012,oil_petroleum_imports,UK,86629.0
2013,oil_petroleum_imports,UK,87009.0
2014,oil_petroleum_imports,UK,83039.0
2015,oil_petroleum_imports,UK,82833.528
2016,oil_petroleum_imports,UK,83927.278
2017,oil_petroleum_imports,UK,87745.83
2018,oil_petroleum_imports,UK,87924.631
2019,oil_petroleum_imports,UK,85632.096
total,oil_petroleum_imports,UK,765364.363
2011,oil_petroleum_imports,ME,316.0
2012,oil_petroleum_imports,ME,294.0
2013,oil_petroleum_imports,ME,286.0
2014,oil_petroleum_imports,ME,294.0
2015,oil_petroleum_imports,ME,302.0
2016,oil_petroleum_imports,ME,357.0
2017,oil_petroleum_imports,ME,402.6
2018,oil_petroleum_imports,ME,420.3
2019,oil_petroleum_imports,ME,425.5
2020,oil_petroleum_imports,ME,324.6
total,oil_petroleum_imports,ME,3422.0
2011,oil_petroleum_imports,MK,1331.0
2012,oil_petroleum_imports,MK,1252.0
2013,oil_petroleum_imports,MK,1063.0
2014,oil_petroleum_imports,MK,1099.0
2015,oil_petroleum_imports,MK,1142.0
2016,oil_petroleum_imports,MK,1212.916
2017,oil_petroleum_imports,MK,1117.123
2018,oil_petroleum_imports,MK,1095.695
2019,oil_petroleum_imports,MK,1251.111
2020,oil_petroleum_imports,MK,1149.499
total,oil_petroleum_imports,MK,11713.344
2011,oil_petroleum_imports,AL,1170.0
2012,oil_petroleum_imports,AL,982.0
2013,oil_petroleum_imports,AL,1498.0
2014,oil_petroleum_imports,AL,1485.0
2015,oil_petroleum_imports,AL,1193.0
2016,oil_petroleum_imports,AL,1208.0
2017,oil_petroleum_imports,AL,1142.24
2018,oil_petroleum_imports,AL,1075.33
2019,oil_petroleum_imports,AL,1130.388
2020,oil_petroleum_imports,AL,1103.694
total,oil_petroleum_imports,AL,11987.652
2011,oil_petroleum_imports,RS,2951.0
2012,oil_petroleum_imports,RS,2423.0
2013,oil_petroleum_imports,RS,2535.0
2014,oil_petroleum_imports,RS,2620.0
2015,oil_petroleum_imports,RS,2889.0
2016,oil_petroleum_imports,RS,3357.0
2017,oil_petroleum_imports,RS,3581.823
2018,oil_petroleum_imports,RS,3695.747
2019,oil_petroleum_imports,RS,3597.091
2020,oil_petroleum_imports,RS,3532.23
total,oil_petroleum_imports,RS,31181.891
2011,oil_petroleum_imports,TR,36081.0
2012,oil_petroleum_imports,TR,39804.0
